ID,username,email,password,isAdmin,createdAt,createdBy,modifiedAt,modifiedBy
377fd5cf-dcca-4b4e-8348-01defdeaf957,alice,alice@example.com,password123,True,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
35d2e0a0-40c0-4f58-8096-1c1533b39b19,bob,bob@example.com,securepass456,False,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
ecce0a72-6e7b-409d-a954-1a6d47a35fb3,charlie,charlie@example.com,charlie789,False,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
f9bb8d8f-3037-4da5-8ada-c90af925a5c7,diana,diana@example.com,diana321,True,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
85cf2388-0909-49db-88c4-c92113ef65b0,eve,eve@example.com,evepass654,False,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
7c6c4558-958c-4c35-8b84-4ff0ce0daad8,frank,frank@example.com,frankpass987,False,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
409cfd56-07b6-43fa-b3bd-ea13f49a93d3,grace,grace@example.com,gracepass111,True,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
952fd345-3ae9-4489-a261-2fbe0298da56,hank,hank@example.com,hankpass222,False,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
b3828f6c-e5f4-4cb2-9298-b544577fc90b,ivy,ivy@example.com,ivypass333,False,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
354a0498-c170-4ddb-bdee-6e89488a82f8,jack,jack@example.com,jackpass444,True,2025-09-29T08:09:06.529901Z,admin,2025-09-29T08:09:06.529901Z,admin
